發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
104,1,1,0,18,2,08士林區,東山路25巷編號097號燈桿前,0,3,1,C03,1,19,2,8,30,15,9
104,1,1,0,18,2,08士林區,東山路25巷編號097號燈桿前,0,3,2,C03,1,18,2,8,30,15,9
104,1,1,0,18,2,08士林區,東山路25巷編號097號燈桿前,0,3,3,C03,1,19,3,8,30,15,9
104,1,1,0,18,2,08士林區,東山路25巷編號097號燈桿前,0,3,4,H02,2,20,2,8,30,15,9
104,1,1,1,37,2,10文山區,木柵路4段 秀明路,0,2,1,B03,1,51,3,8,50,4,1
104,1,1,1,37,2,10文山區,木柵路4段 秀明路,0,2,2,C03,1,19,2,8,50,4,1
104,1,1,1,37,2,10文山區,木柵路4段 秀明路,0,2,3,H02,2,18,2,8,50,4,1
104,1,1,1,37,2,10文山區,木柵路4段 秀明路,0,2,4,H02,1,13,4,8,50,4,1
104,1,1,2,30,2,06松山區,塔悠路 6號水門內,0,2,1,C03,1,19,2,8,0,3,22
104,1,1,2,30,2,06松山區,塔悠路 6號水門內,0,2,2,,3,,,8,0,3,22
104,1,1,2,30,2,06松山區,塔悠路 6號水門內,0,2,3,H02,2,18,2,8,0,3,22
104,1,1,2,35,2,03中山區,中山區南京東路2段15號,0,1,1,G06,1,,4,7,50,14,9
104,1,1,2,35,2,03中山區,中山區南京東路2段15號,0,1,2,C03,1,18,3,7,50,14,9
104,1,1,2,35,2,03中山區,中山區南京東路2段15號,0,1,3,H02,2,18,2,7,50,14,9
104,1,1,2,45,2,08士林區,士林區士商路與承德路5,0,1,1,B02,1,22,3,8,50,4,1
104,1,1,2,45,2,08士林區,士林區士商路與承德路5,0,1,2,C03,1,22,2,8,50,4,1
104,1,1,2,50,2,08士林區,忠誠路1段173巷 忠義街,0,1,1,C03,1,18,2,7,50,4,1
104,1,1,2,50,2,08士林區,忠誠路1段173巷 忠義街,0,1,2,B01,1,50,3,7,50,4,1
104,1,1,3,8,2,03中山區,市民大道2段67巷口,0,1,1,C03,1,19,2,7,40,3,2
104,1,1,3,8,2,03中山區,市民大道2段67巷口,0,1,2,,3,,,7,40,3,2
104,1,1,3,25,2,09北投區,北投區承德路6段359號,0,1,1,B03,2,28,3,8,60,14,9
104,1,1,3,25,2,09北投區,北投區承德路6段359號,0,1,2,C03,1,18,2,8,60,14,9
104,1,1,3,40,2,09北投區,北投區西安街2段323號,0,1,1,C03,1,18,2,8,50,4,2
104,1,1,3,40,2,09北投區,北投區西安街2段323號,0,1,2,F01,2,24,3,8,50,4,2
104,1,1,3,45,2,04大安區,大安區敦化南路2段107號,0,2,1,B03,1,33,2,8,50,4,1
104,1,1,3,45,2,04大安區,大安區敦化南路2段107號,0,2,2,B01,1,59,2,8,50,4,1
104,1,1,3,57,2,10文山區,興隆路2段220巷 興隆路2段220巷31弄口,0,2,1,B03,1,17,2,7,50,4,1
104,1,1,3,57,2,10文山區,興隆路2段220巷 興隆路2段220巷31弄口,0,2,2,B03,1,29,3,7,50,4,1
104,1,1,3,57,2,10文山區,興隆路2段220巷 興隆路2段220巷31弄口,0,2,3,H02,2,16,2,7,50,4,1
104,1,1,4,15,2,01大同區,承德路 民權西路,0,1,1,C03,1,19,2,8,50,4,1
104,1,1,4,15,2,01大同區,承德路 民權西路,0,1,2,B01,1,53,3,8,50,4,1
104,1,1,5,15,2,04大安區,大安區建國南路1段336號,0,1,1,C03,1,23,2,8,50,4,1
104,1,1,5,15,2,04大安區,大安區建國南路1段336號,0,1,2,B02,1,21,3,8,50,4,1
104,1,1,5,20,1,04大安區,辛亥路3段55號對面,1,0,1,C03,1,30,1,8,50,14,9
104,1,1,5,20,1,04大安區,辛亥路3段55號對面,1,0,2,,3,,,8,50,14,9
104,1,1,5,40,2,08士林區,延平北路6段 社中街,0,1,1,B12,1,65,3,8,50,3,1
104,1,1,5,40,2,08士林區,延平北路6段 社中街,0,1,2,C03,2,52,2,8,50,3,1
104,1,1,5,55,2,06松山區,民權東路4段 光復北路,0,1,1,B01,1,51,3,8,50,4,2
104,1,1,5,55,2,06松山區,民權東路4段 光復北路,0,1,2,C03,2,36,2,8,50,4,2
104,1,1,7,10,2,04大安區,辛亥路 建國南路,0,1,1,B03,1,20,3,8,0,3,1
104,1,1,7,10,2,04大安區,辛亥路 建國南路,0,1,2,C03,2,25,2,8,0,3,1
104,1,1,7,12,2,08士林區,福林路329巷1弄 復興橋頭,0,1,1,C03,1,19,2,8,50,3,2
104,1,1,7,12,2,08士林區,福林路329巷1弄 復興橋頭,0,1,2,C03,1,26,3,8,50,3,2
104,1,1,7,13,2,02萬華區,漢中街 峨眉街,0,1,1,B01,1,52,2,8,50,4,1
104,1,1,7,13,2,02萬華區,漢中街 峨眉街,0,1,2,B12,1,60,3,8,50,4,1
104,1,1,7,39,2,09北投區,北投區公館路416號,0,1,1,B03,1,,4,8,50,14,9
104,1,1,7,39,2,09北投區,北投區公館路416號,0,1,2,C03,2,43,2,8,50,14,9
104,1,1,8,50,2,10文山區,羅斯福路4段 基隆路4段,0,1,1,C03,1,30,3,8,50,4,1
104,1,1,8,50,2,10文山區,羅斯福路4段 基隆路4段,0,1,2,C03,1,22,2,8,50,4,1
104,1,1,8,56,2,06松山區,健康路325巷口,0,1,1,B12,1,61,3,8,50,4,1
104,1,1,8,56,2,06松山區,健康路325巷口,0,1,2,H01,1,83,2,8,50,4,1
104,1,1,9,30,2,05中正區,北平東路 中山北路,0,1,1,B03,1,28,3,8,50,4,1
104,1,1,9,30,2,05中正區,北平東路 中山北路,0,1,2,B01,1,54,2,8,50,4,1
104,1,1,9,33,2,08士林區,文林路 美崙街1號,0,1,1,B01,1,53,3,8,50,4,2
104,1,1,9,33,2,08士林區,文林路 美崙街1號,0,1,2,H01,2,85,2,8,50,4,2
104,1,1,10,50,2,09北投區,致遠二路 石牌路1段,0,1,1,B03,1,63,3,8,50,4,1
104,1,1,10,50,2,09北投區,致遠二路 石牌路1段,0,1,2,H01,2,58,2,8,50,4,1
104,1,1,12,4,2,09北投區,北投區中央北路3段72號,0,1,1,A02,1,55,3,8,50,14,9
104,1,1,12,4,2,09北投區,北投區中央北路3段72號,0,1,2,C03,1,62,2,8,50,14,9
104,1,1,12,4,2,09北投區,北投區中央北路3段72號,0,1,3,B03,1,48,3,8,50,14,9
104,1,1,12,57,2,12內湖區,內湖區內湖路1段與堤頂大道2,0,1,1,B03,2,44,3,8,70,3,2
104,1,1,12,57,2,03中山區,北安路630巷 北安路630巷25弄,0,1,1,C03,2,23,2,8,50,4,1
104,1,1,12,57,2,12內湖區,內湖區內湖路1段與堤頂大道2,0,1,2,C04,2,55,2,8,70,3,2
104,1,1,12,57,2,03中山區,北安路630巷 北安路630巷25弄,0,1,2,B03,1,48,3,8,50,4,1
104,1,1,13,50,2,10文山區,羅斯福路6段142巷口,0,1,1,B03,1,37,3,8,50,4,1
104,1,1,13,50,2,10文山區,羅斯福路6段142巷口,0,1,2,C03,1,24,2,8,50,4,1
104,1,1,14,5,2,01大同區,台北橋機車道往台北市,0,2,1,C03,2,30,2,8,40,8,11
104,1,1,14,5,2,01大同區,台北橋機車道往台北市,0,2,2,H01,2,47,2,8,40,8,11
104,1,1,14,11,2,07信義區,吳興街220巷83號旁 信安街67巷,0,2,1,C03,1,33,2,8,50,14,9
104,1,1,14,11,2,07信義區,吳興街220巷83號旁 信安街67巷,0,2,2,F01,1,83,2,8,50,14,9
104,1,1,15,20,2,08士林區,大南路 小西街,0,2,1,C03,2,25,2,8,30,4,1
104,1,1,15,20,2,08士林區,大南路 小西街,0,2,2,C03,1,43,2,8,30,4,1
104,1,1,16,0,2,12內湖區,內湖區成功路4段46號,0,1,1,B03,1,31,2,8,50,14,9
104,1,1,16,0,2,12內湖區,內湖區成功路4段46號,0,1,2,B03,1,41,3,8,50,14,9
104,1,1,16,24,2,01大同區,鄭州路 太原路,0,1,1,C03,2,40,2,7,0,14,9
104,1,1,16,24,2,01大同區,鄭州路 太原路,0,1,2,B03,2,56,3,7,0,14,9
104,1,1,16,25,2,05中正區,市民大道 承德路,0,2,1,B03,1,46,3,8,50,4,1
