OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,DepDel15,WindSpeed,SeaLevelPressure,HourlyPrecip
ORD,3,9,9,3,UA,LAS,0,5,30,0
MDW,3,5,8,6,WN,CLE,0,8,29,0
MKE,3,6,14,7,WN,LGA,0,10,29,0
ATL,3,5,15,6,DL,RSW,0,6,30,0
RNO,3,7,10,1,WN,PHX,0,0,30,0
BWI,3,13,19,7,US,CLT,0,5,30,0
CMH,3,24,9,4,YV,CLT,0,7,30,0
MCO,3,9,18,3,DL,SLC,0,14,30,0
HNL,3,12,13,6,YV,OGG,0,11,29,0
PIT,3,8,18,2,WN,BWI,0,5,30,0
PHL,3,7,7,1,WN,MCO,0,7,29,0
BWI,3,10,10,4,WN,PIT,0,7,29,0
IAH,3,14,12,1,UA,CLE,0,11,30,0
JFK,3,26,15,6,MQ,IND,0,23,30,0
LAS,3,2,10,3,AA,LAX,0,17,29,0
LAS,3,16,10,3,WN,MSY,0,5,30,0
BOS,3,14,10,1,WN,BWI,0,0,30,0
LAS,3,27,21,7,WN,RNO,1,13,29,0
SNA,3,17,13,4,AS,PDX,0,10,29,0
PHX,3,18,10,5,US,RNO,0,6,29,0
SMF,3,5,6,6,WN,DEN,0,0,30,0
RNO,3,5,10,6,WN,SAN,1,3,30,0
HNL,3,17,6,4,HA,OGG,0,0,29,0
LAS,3,6,9,7,WN,SNA,0,0,30,0
PHL,3,10,10,4,US,CLT,1,16,30,0
JFK,3,12,15,6,9E,BNA,0,16,30,0
ATL,3,16,7,3,DL,DTW,0,6,30,0
STL,3,25,14,5,WN,LAS,0,0,30,0
DTW,3,18,20,5,DL,PHL,0,10,29,0
RIC,3,6,17,7,EV,IAH,1,9,29,0
ABQ,3,25,7,5,MQ,ORD,0,7,29,0
RSW,3,27,12,7,B6,BOS,0,8,30,0
TPA,3,20,14,7,US,PHL,1,7,29,0
IAH,3,25,13,5,UA,SAT,0,5,30,0
LGA,3,30,15,3,WN,BNA,0,8,30,0
SLC,3,9,17,3,OO,BNA,0,13,29,0
LAS,3,2,23,3,UA,CLE,0,16,29,0
CLT,3,16,11,3,US,LAX,0,0,30,0
MDW,3,16,8,3,WN,SAN,0,15,29,0
HOU,3,30,14,3,WN,DEN,1,13,29,0
BWI,3,24,16,4,WN,HOU,0,13,30,0
ATL,3,10,8,4,DL,EWR,0,0,30,0
RIC,3,14,7,1,EV,CVG,0,9,30,0
SFO,3,23,9,3,VX,JFK,0,3,29,0
CLT,3,6,13,7,US,PIT,0,9,29,0
CLE,3,31,18,4,UA,ORD,0,17,29,0
BOS,3,10,20,4,B6,JFK,1,7,30,0
PDX,3,5,7,6,VX,SFO,0,5,30,0
IND,3,13,16,7,EV,EWR,0,9,30,0
EWR,3,31,14,4,EV,PVD,0,5,29,0
STL,3,18,10,5,WN,LAX,1,8,30,0
PHL,3,21,10,1,US,MCO,1,5,30,0
AUS,3,30,15,3,DL,ATL,1,6,29,0
TPA,3,17,9,4,UA,IAD,0,0,29,0
BWI,3,3,19,4,WN,HOU,0,5,30,0
SFO,3,19,7,6,VX,SEA,0,5,30,0
FLL,3,15,15,2,DL,ATL,0,10,29,0
SFO,3,20,7,7,OO,SMF,0,6,29,0
OAK,3,21,11,1,WN,BUR,1,6,29,0
MIA,3,19,9,6,MQ,CLE,1,7,29,0
DCA,3,13,16,7,US,TPA,0,11,30,0
BWI,3,6,17,7,UA,ORD,0,11,29,0
CLT,3,15,11,2,MQ,ORD,0,9,30,0
LAX,3,30,9,3,OO,SEA,1,0,30,0
ATL,3,10,20,4,US,PHX,0,5,30,0
PDX,3,19,6,6,UA,ORD,0,0,29,0
CLT,3,31,12,4,WN,HOU,0,9,30,0
SFO,3,15,12,2,DL,CVG,1,0,30,0
CLT,3,16,8,3,US,ATL,0,3,30,0
PHL,3,11,16,5,UA,SFO,1,13,29,0
CMH,3,21,19,1,AA,DFW,0,9,29,0
DCA,3,1,22,2,US,LGA,0,3,30,0
MCO,3,3,9,4,B6,RIC,0,6,30,0
RDU,3,6,11,7,9E,MEM,0,7,29,0
MDW,3,3,6,4,9E,DTW,0,6,29,0
TPA,3,16,15,3,WN,SDF,0,8,29,0
BNA,3,19,13,6,MQ,DCA,0,9,29,0
ORD,3,5,10,6,YV,JAX,0,7,29,0
SEA,3,4,23,5,UA,ORD,0,5,30,0
MDW,3,11,19,5,WN,ABQ,1,7,29,0
PDX,3,3,7,4,OO,SEA,0,3,29,0
OGG,3,14,17,1,HA,HNL,0,14,29,0
CLT,3,7,17,1,AA,DFW,1,8,29,0
SNA,3,23,7,3,F9,DEN,0,5,29,0
PDX,3,7,10,1,AS,DFW,0,8,30,0
FLL,3,8,8,2,WN,MDW,0,5,29,0
SFO,3,20,17,7,UA,LAX,0,20,29,0
SAN,3,26,12,6,VX,SFO,0,10,30,0
SAN,3,7,15,1,F9,DEN,0,8,29,0
SEA,3,20,20,7,DL,LAS,1,6,29,0
IAH,3,31,9,4,UA,SMF,0,7,29,0
ATL,3,23,20,3,EV,CLE,0,8,30,0
BNA,3,17,8,4,WN,SAN,0,8,29,0
MSP,3,18,14,5,9E,ORF,0,10,29,0
ATL,3,1,14,2,DL,SDF,0,0,30,0
BOS,3,25,11,5,UA,EWR,0,13,30,0
DTW,3,17,11,4,AA,DFW,0,8,29,0
IAH,3,31,7,4,EV,MEM,0,14,29,0
JFK,3,17,20,4,B6,ORD,0,14,29,0
MSP,3,30,9,3,DL,LGA,0,5,29,0
LAX,3,22,12,2,MQ,SAN,0,10,29,0
ATL,3,7,9,1,DL,TPA,0,11,29,0
IAD,3,8,10,2,VX,SFO,0,11,30,0
HOU,3,26,17,6,WN,EWR,1,10,30,0
JFK,3,9,10,3,AA,LAX,0,16,30,0
LGA,3,24,17,4,WN,DEN,0,13,29,0
CLT,3,27,22,7,US,JAX,0,6,30,0
CLE,3,6,21,7,EV,MSP,0,11,29,0
MDW,3,19,11,6,WN,DTW,0,15,29,0
STL,3,14,19,1,UA,SFO,0,9,30,0
PHL,3,12,18,6,US,MSP,0,11,30,0
OAK,3,21,10,1,WN,SNA,0,0,30,0
PHX,3,1,11,2,WN,ONT,0,7,29,0
LGA,3,1,14,2,DL,ATL,0,3,29,0
LAS,3,4,9,5,UA,LAX,1,10,30,0
BOS,3,6,11,7,B6,EWR,0,15,30,0
SEA,3,11,21,5,AS,MCO,0,0,30,0
BOS,3,1,17,2,WN,DEN,0,8,29,0
MSY,3,23,19,3,DL,LGA,0,9,30,0
MCO,3,9,14,3,DL,JFK,0,11,29,0
ORD,3,1,7,2,UA,DCA,0,15,29,0
SMF,3,10,15,4,WN,PHX,1,7,29,0
ATL,3,6,20,7,DL,TPA,1,3,29,0
PHX,3,6,12,7,WN,ABQ,0,11,30,0
MKE,3,17,8,4,WN,BOS,0,7,29,0
ATL,3,23,14,3,DL,DCA,0,18,29,0
IAD,3,28,12,1,9E,DTW,0,0,30,0
SMF,3,18,9,5,WN,LAS,0,5,30,0
MSP,3,10,9,4,DL,FLL,0,9,30,0
ATL,3,22,22,2,DL,DFW,0,6,29,0
FLL,3,4,18,5,WN,HOU,0,9,29,0
JAX,3,28,6,1,B6,JFK,0,0,30,0
ATL,3,17,9,4,DL,BDL,1,6,29,0
TPA,3,9,15,3,AA,DFW,0,5,30,0
RIC,3,1,6,2,EV,MSP,0,0,30,0
SFO,3,6,12,7,DL,CVG,0,9,30,0
JFK,3,16,8,3,B6,HOU,0,3,30,0
HOU,3,31,16,4,WN,BNA,1,5,29,0
IAH,3,6,11,7,UA,BOS,1,9,30,0
PDX,3,26,5,6,AA,DFW,0,0,30,0
AUS,3,4,10,5,DL,ATL,0,16,29,0
IAH,3,18,14,5,AA,MIA,0,10,29,0
BWI,3,18,13,5,AA,DFW,0,10,29,0
LGA,3,22,13,2,DL,MIA,0,14,29,0
IAH,3,16,9,3,UA,SAN,0,8,29,0
MIA,3,2,14,3,YV,ORD,1,5,29,0
BOS,3,25,11,5,B6,DCA,0,13,30,0
CLT,3,18,16,5,US,JAX,0,5,29,0
BWI,3,29,20,2,WN,SDF,0,0,30,0
IAD,3,3,15,4,UA,SFO,0,5,30,0
MEM,3,6,17,7,DL,LAX,1,8,29,0
BOS,3,12,6,6,B6,FLL,0,9,30,0
CLT,3,16,7,3,YV,STL,0,0,29,0
FLL,3,23,14,3,US,DCA,0,8,29,0
OKC,3,9,8,3,WN,HOU,0,15,30,0
ORD,3,29,7,2,AA,AUS,0,13,30,0
SLC,3,24,14,4,F9,DEN,0,6,30,0
DTW,3,16,7,3,9E,IAD,0,10,29,0
OMA,3,1,13,2,EV,EWR,0,7,29,0
ORD,3,10,21,4,MQ,DTW,0,6,30,0
MCO,3,2,13,3,WN,MSY,0,9,30,0
BWI,3,27,17,7,WN,ABQ,0,5,30,0
ORD,3,22,15,2,MQ,ATL,1,8,29,0
PDX,3,15,18,2,UA,SFO,1,0,30,0
BNA,3,30,11,3,US,CLT,0,11,30,0
LAX,3,23,23,3,AA,ORD,0,0,29,0
AUS,3,3,16,4,YV,CLT,0,9,29,0
