"","SiteId","SiteName","MonitorDate","AQI","SO2SubIndex","COSubIndex","O3SubIndex","PM10SubIndex","NO2SubIndex","O38SubIndex","PM25SubIndex"
"1",35,"二林","2016-12-18",113,3,8,NA,73,23,67,113
"2",35,"二林","2016-12-19",115,5,6,NA,66,30,51,115
"3",35,"二林","2016-12-20",77,7,6,NA,63,24,43,77
"4",35,"二林","2016-12-21",97,9,3,NA,78,15,44,97
"5",35,"二林","2016-12-22",46,10,6,NA,46,18,25,42
"6",35,"二林","2016-12-23",85,10,7,NA,71,21,46,85
"7",35,"二林","2016-12-24",73,19,7,NA,67,25,49,73
"8",35,"二林","2016-12-25",89,10,8,NA,71,21,61,89
"9",35,"二林","2016-12-26",80,7,3,NA,66,14,42,80
"10",35,"二林","2016-12-27",92,7,6,NA,92,13,27,50
"11",35,"二林","2016-12-28",32,4,3,NA,32,19,31,20
"12",35,"二林","2016-12-29",38,4,2,NA,38,14,34,24
"13",35,"二林","2016-12-30",53,19,6,NA,52,27,38,53
"14",35,"二林","2016-12-31",47,11,5,NA,47,26,34,35
"15",35,"二林","2017-01-01",71,13,7,NA,55,18,44,71
"16",35,"二林","2017-01-02",81,7,5,NA,68,19,41,81
"17",35,"二林","2017-01-03",68,13,6,NA,57,19,35,68
"18",35,"二林","2017-01-04",67,7,5,NA,58,20,44,67
"19",35,"二林","2017-01-05",118,6,5,NA,90,18,45,118
"20",35,"二林","2017-01-06",96,11,5,NA,75,18,42,96
"21",35,"二林","2017-01-07",81,9,6,NA,68,18,44,81
"22",35,"二林","2017-01-08",83,14,8,NA,64,23,39,83
"23",35,"二林","2017-01-09",55,10,7,NA,50,21,38,55
"24",35,"二林","2017-01-10",87,20,7,NA,62,25,44,87
"25",35,"二林","2017-01-11",78,14,6,NA,62,19,44,78
"26",35,"二林","2017-01-12",63,11,5,NA,53,19,32,63
"27",35,"二林","2017-01-13",38,7,7,NA,28,20,24,38
"28",35,"二林","2017-01-14",52,6,6,NA,29,12,39,52
"29",35,"二林","2017-01-15",42,10,3,NA,20,21,33,42
"30",35,"二林","2017-01-16",30,9,3,NA,16,19,30,26
"31",35,"二林","2017-01-17",40,20,5,NA,34,25,40,32
"32",35,"二林","2017-01-18",44,9,3,NA,44,13,39,43
"33",35,"二林","2017-01-19",57,14,5,NA,41,18,37,57
"34",35,"二林","2017-01-20",71,9,6,NA,57,19,34,71
"35",35,"二林","2017-01-21",61,13,5,NA,54,17,36,61
"36",35,"二林","2017-01-22",65,11,5,NA,58,13,48,65
"37",35,"二林","2017-01-23",71,14,5,NA,58,18,37,71
"38",35,"二林","2017-01-24",56,19,6,NA,46,26,31,56
"39",35,"二林","2017-01-25",42,13,3,NA,42,17,36,37
"40",35,"二林","2017-01-26",57,10,3,NA,46,19,49,57
"41",35,"二林","2017-01-27",75,11,6,NA,57,26,43,75
"42",35,"二林","2017-01-28",66,11,3,NA,43,16,44,66
"43",35,"二林","2017-01-29",82,13,5,NA,61,17,44,82
"44",35,"二林","2017-01-30",64,9,6,NA,55,12,32,64
"45",35,"二林","2017-01-31",36,11,3,NA,34,12,36,32
"46",35,"二林","2017-02-01",44,9,3,NA,44,12,34,36
"47",35,"二林","2017-02-02",49,10,6,NA,43,15,37,49
"48",35,"二林","2017-02-03",47,11,5,NA,43,17,39,47
